InvoiceDate,Country,TotalRevenue,AvgOrderValue,TransactionCount,UniqueOrders,UniqueCustomers,TotalItems,YearMonth,Year,Month
2010-12,Australia,1032.85,32.28,32,3,2,467,2010-12,2010,12
2010-12,Austria,277.2,34.65,8,1,1,51,2010-12,2010,12
2010-12,Belgium,1809.91,19.05,95,5,4,1755,2010-12,2010,12
2010-12,Channel Islands,363.53,21.38,17,1,1,80,2010-12,2010,12
2010-12,Cyprus,1590.82,19.17,83,1,1,917,2010-12,2010,12
2010-12,Denmark,1281.5,64.08,20,1,1,454,2010-12,2010,12
2010-12,EIRE,8813.88,26.39,334,15,3,5253,2010-12,2010,12
2010-12,Finland,892.8,52.52,17,1,1,1254,2010-12,2010,12
2010-12,France,9616.31,22.16,434,21,15,4989,2010-12,2010,12
2010-12,Germany,15241.14,29.71,513,30,18,6878,2010-12,2010,12
2010-12,Iceland,711.79,22.96,31,1,1,319,2010-12,2010,12
2010-12,Italy,811.5,20.29,40,2,2,295,2010-12,2010,12
2010-12,Japan,7705.07,118.54,65,3,3,4093,2010-12,2010,12
2010-12,Lithuania,1661.06,47.46,35,4,1,652,2010-12,2010,12
2010-12,Netherlands,8784.48,122.01,72,3,2,6811,2010-12,2010,12
2010-12,Norway,3787.12,25.76,147,2,1,3582,2010-12,2010,12
2010-12,Poland,248.16,31.02,8,1,1,140,2010-12,2010,12
2010-12,Portugal,2439.97,21.03,116,6,6,984,2010-12,2010,12
2010-12,Spain,1843.73,24.58,75,4,4,867,2010-12,2010,12
2010-12,Sweden,3834.3,147.47,26,2,1,3954,2010-12,2010,12
2010-12,Switzerland,1304.92,26.63,49,2,2,714,2010-12,2010,12
2010-12,United Kingdom,498661.85,20.83,23943,1291,815,267771,2010-12,2010,12
2011-01,Australia,9017.71,71.01,127,9,7,5644,2011-01,2011,1
2011-01,Belgium,1200.2,20.69,58,3,3,792,2011-01,2011,1
2011-01,Channel Islands,675.58,22.52,30,1,1,259,2011-01,2011,1
2011-01,Cyprus,547.5,34.22,16,1,1,144,2011-01,2011,1
2011-01,EIRE,21904.19,126.61,173,7,2,8794,2011-01,2011,1
2011-01,Finland,889.02,80.82,11,2,2,765,2011-01,2011,1
2011-01,France,17740.12,26.88,660,29,24,9199,2011-01,2011,1
2011-01,Germany,16910.84,21.74,778,31,28,9077,2011-01,2011,1
2011-01,Greece,2661.24,83.16,32,1,1,526,2011-01,2011,1
2011-01,Iceland,475.39,16.39,29,1,1,315,2011-01,2011,1
2011-01,Italy,2402.51,22.25,108,3,3,1121,2011-01,2011,1
2011-01,Lebanon,1693.88,37.64,45,1,1,386,2011-01,2011,1
2011-01,Netherlands,26611.16,116.21,229,5,2,20417,2011-01,2011,1
2011-01,Poland,613.22,24.53,25,1,1,288,2011-01,2011,1
2011-01,Portugal,4055.71,34.37,118,4,4,2094,2011-01,2011,1
2011-01,Singapore,2053.07,36.66,56,1,1,1091,2011-01,2011,1
2011-01,Spain,10086.09,26.4,382,8,7,3845,2011-01,2011,1
2011-01,Sweden,3486.32,102.54,34,2,2,3097,2011-01,2011,1
2011-01,Switzerland,4231.23,26.45,160,3,3,2993,2011-01,2011,1
2011-01,United Kingdom,442190.06,24.35,18161,874,647,278300,2011-01,2011,1
2011-02,Australia,14695.42,165.12,89,5,4,8680,2011-02,2011,2
2011-02,Austria,518.36,24.68,21,2,2,342,2011-02,2011,2
2011-02,Belgium,2181.07,18.64,117,8,7,1102,2011-02,2011,2
2011-02,Channel Islands,1784.71,178.47,10,1,1,935,2011-02,2011,2
2011-02,Cyprus,4334.24,27.78,156,6,4,2191,2011-02,2011,2
2011-02,Czech Republic,549.26,36.62,15,1,1,346,2011-02,2011,2
2011-02,Denmark,399.22,19.96,20,1,1,224,2011-02,2011,2
2011-02,EIRE,10126.52,29.27,346,9,2,4965,2011-02,2011,2
2011-02,Finland,205.16,17.1,12,1,1,141,2011-02,2011,2
2011-02,France,8515.96,20.32,419,21,17,5340,2011-02,2011,2
2011-02,Germany,9581.05,32.37,296,19,17,4245,2011-02,2011,2
2011-02,Israel,779.1,48.69,16,1,1,286,2011-02,2011,2
2011-02,Italy,256.0,19.69,13,1,1,111,2011-02,2011,2
2011-02,Japan,5780.81,68.01,85,2,2,2999,2011-02,2011,2
2011-02,Netherlands,23011.91,121.76,189,5,2,16387,2011-02,2011,2
2011-02,Norway,630.9,19.72,32,2,2,295,2011-02,2011,2
2011-02,Poland,604.05,21.57,28,2,2,297,2011-02,2011,2
2011-02,Portugal,1213.9,21.3,57,2,2,558,2011-02,2011,2
2011-02,Saudi Arabia,145.92,16.21,9,1,1,80,2011-02,2011,2
2011-02,Spain,2114.5,22.03,96,4,4,870,2011-02,2011,2
2011-02,Sweden,509.5,42.46,12,1,1,250,2011-02,2011,2
2011-02,Switzerland,2654.92,26.29,101,5,4,1107,2011-02,2011,2
2011-02,United Arab Emirates,889.24,29.64,30,1,1,496,2011-02,2011,2
2011-02,United Kingdom,355655.63,20.03,17759,897,679,213391,2011-02,2011,2
2011-03,Australia,17223.99,159.48,108,3,3,10439,2011-03,2011,3
2011-03,Austria,1708.12,94.9,18,2,2,982,2011-03,2011,3
2011-03,Belgium,3351.98,20.82,161,9,8,1783,2011-03,2011,3
2011-03,Canada,140.54,14.05,10,1,1,88,2011-03,2011,3
2011-03,Channel Islands,3509.33,19.28,182,3,3,2104,2011-03,2011,3
2011-03,Cyprus,938.39,19.55,48,1,1,1005,2011-03,2011,3
2011-03,Denmark,3978.99,209.42,19,1,1,879,2011-03,2011,3
2011-03,EIRE,21674.36,40.82,531,22,3,9246,2011-03,2011,3
2011-03,Finland,5936.82,27.74,214,5,1,2536,2011-03,2011,3
2011-03,France,14589.55,26.77,545,25,17,8690,2011-03,2011,3
2011-03,Germany,14392.69,24.94,577,32,24,7739,2011-03,2011,3
2011-03,Greece,387.31,17.6,22,1,1,289,2011-03,2011,3
2011-03,Italy,1806.81,21.77,83,4,3,688,2011-03,2011,3
2011-03,Japan,48.9,3.06,16,3,3,21,2011-03,2011,3
2011-03,Netherlands,22416.49,118.61,189,8,4,14828,2011-03,2011,3
2011-03,Norway,1265.31,55.01,23,4,1,156,2011-03,2011,3
2011-03,Poland,317.78,35.31,9,1,1,162,2011-03,2011,3
2011-03,Portugal,2660.85,23.34,114,5,4,1626,2011-03,2011,3
2011-03,Spain,5363.15,26.68,201,8,8,2545,2011-03,2011,3
2011-03,Sweden,4720.58,134.87,35,3,2,5407,2011-03,2011,3
2011-03,Switzerland,1870.23,32.25,58,3,3,986,2011-03,2011,3
2011-03,United Kingdom,467198.59,19.46,24014,1177,880,276345,2011-03,2011,3
2011-04,Australia,771.6,42.87,18,2,2,225,2011-04,2011,4
2011-04,Austria,680.78,26.18,26,2,2,311,2011-04,2011,4
2011-04,Belgium,1989.48,17.15,116,6,6,1183,2011-04,2011,4
2011-04,Brazil,1143.6,35.74,32,1,1,356,2011-04,2011,4
2011-04,Channel Islands,293.0,32.56,9,1,1,97,2011-04,2011,4
2011-04,EIRE,7570.5,24.74,306,11,2,4135,2011-04,2011,4
2011-04,European Community,191.4,17.4,11,1,1,34,2011-04,2011,4
2011-04,Finland,1688.92,42.22,40,4,4,818,2011-04,2011,4
2011-04,France,5529.61,24.47,226,14,14,2287,2011-04,2011,4
2011-04,Germany,12315.54,27.99,440,23,19,5764,2011-04,2011,4
2011-04,Greece,609.74,19.67,31,1,1,262,2011-04,2011,4
2011-04,Iceland,636.25,26.51,24,1,1,483,2011-04,2011,4
2011-04,Italy,737.83,33.54,22,2,2,653,2011-04,2011,4
2011-04,Japan,6548.5,142.36,46,2,2,8058,2011-04,2011,4
2011-04,Netherlands,2976.56,124.02,24,3,1,1768,2011-04,2011,4
2011-04,Poland,705.84,28.23,25,1,1,432,2011-04,2011,4
2011-04,Portugal,1687.75,21.92,77,2,2,951,2011-04,2011,4
2011-04,Singapore,8209.58,144.03,57,3,1,1389,2011-04,2011,4
2011-04,Spain,1785.65,18.6,96,3,3,953,2011-04,2011,4
2011-04,Sweden,809.1,23.8,34,2,2,310,2011-04,2011,4
2011-04,Switzerland,2076.94,25.96,80,4,2,887,2011-04,2011,4
2011-04,USA,383.95,17.45,22,1,1,137,2011-04,2011,4
2011-04,United Kingdom,409559.14,19.63,20866,1058,784,260450,2011-04,2011,4
2011-04,Unspecified,299.1,18.69,16,1,1,282,2011-04,2011,4
2011-05,Australia,13638.41,116.57,117,4,2,9079,2011-05,2011,5
2011-05,Austria,1249.43,24.5,51,2,2,476,2011-05,2011,5
2011-05,Bahrain,548.4,32.26,17,2,2,260,2011-05,2011,5
2011-05,Belgium,2732.4,18.59,147,9,7,1829,2011-05,2011,5
2011-05,Canada,534.24,534.24,1,1,1,504,2011-05,2011,5
2011-05,Channel Islands,1207.24,35.51,34,2,2,224,2011-05,2011,5
2011-05,Denmark,515.7,27.14,19,1,1,368,2011-05,2011,5
2011-05,EIRE,15982.19,30.44,525,18,3,7251,2011-05,2011,5
2011-05,France,17614.88,24.36,723,39,28,9788,2011-05,2011,5
2011-05,Germany,25751.2,33.71,764,42,27,12997,2011-05,2011,5
2011-05,Italy,587.45,25.54,23,1,1,267,2011-05,2011,5
2011-05,Japan,1351.45,112.62,12,1,1,743,2011-05,2011,5
2011-05,Netherlands,29185.88,135.75,215,11,4,19936,2011-05,2011,5
2011-05,Poland,1522.37,22.06,69,3,3,616,2011-05,2011,5
2011-05,Portugal,4202.23,52.53,80,5,1,315,2011-05,2011,5
2011-05,Spain,3257.6,31.02,105,4,3,1468,2011-05,2011,5
2011-05,Sweden,2681.98,141.16,19,3,2,2833,2011-05,2011,5
2011-05,Switzerland,3610.01,23.91,151,3,3,2249,2011-05,2011,5
2011-05,United Kingdom,551568.82,21.89,25203,1403,962,301828,2011-05,2011,5
2011-05,Unspecified,852.68,18.14,47,1,1,654,2011-05,2011,5
2011-06,Australia,25187.77,149.04,169,4,2,15981,2011-06,2011,6
2011-06,Belgium,4274.82,18.59,230,11,11,2245,2011-06,2011,6
2011-06,Canada,1171.46,20.55,57,1,1,1092,2011-06,2011,6
2011-06,Channel Islands,2060.03,25.43,81,1,1,836,2011-06,2011,6
2011-06,Cyprus,1109.32,23.6,47,1,1,356,2011-06,2011,6
2011-06,Denmark,3261.15,30.77,106,3,3,1544,2011-06,2011,6
2011-06,EIRE,19835.99,36.8,539,24,2,12182,2011-06,2011,6
2011-06,European Community,432.05,21.6,20,2,1,130,2011-06,2011,6
2011-06,Finland,329.56,25.35,13,1,1,157,2011-06,2011,6
2011-06,France,16078.97,28.06,573,30,25,9578,2011-06,2011,6
2011-06,Germany,13274.1,20.33,653,24,21,7470,2011-06,2011,6
2011-06,Iceland,382.52,21.25,18,1,1,196,2011-06,2011,6
2011-06,Italy,202.07,20.21,10,2,2,55,2011-06,2011,6
2011-06,Japan,1607.04,267.84,6,1,1,2256,2011-06,2011,6
2011-06,Malta,863.16,19.18,45,2,1,402,2011-06,2011,6
2011-06,Netherlands,26858.09,82.9,324,11,5,19744,2011-06,2011,6
2011-06,Norway,5886.86,35.46,166,4,2,2009,2011-06,2011,6
2011-06,Poland,343.65,21.48,16,2,2,81,2011-06,2011,6
2011-06,Portugal,884.46,18.43,48,3,3,421,2011-06,2011,6
2011-06,Spain,3333.21,18.42,181,8,8,1538,2011-06,2011,6
2011-06,Sweden,832.0,23.77,35,3,3,404,2011-06,2011,6
2011-06,Switzerland,7904.15,63.23,125,4,4,3970,2011-06,2011,6
2011-06,United Kingdom,524915.48,22.14,23714,1249,889,280974,2011-06,2011,6
2011-06,Unspecified,185.78,20.64,9,1,1,78,2011-06,2011,6
2011-07,Australia,4964.38,31.22,159,7,3,5318,2011-07,2011,7
2011-07,Austria,1191.95,21.67,55,2,2,573,2011-07,2011,7
2011-07,Belgium,2475.57,19.34,128,5,4,1679,2011-07,2011,7
2011-07,Canada,1768.58,22.67,78,2,1,1027,2011-07,2011,7
2011-07,Denmark,376.24,22.13,17,1,1,241,2011-07,2011,7
2011-07,EIRE,40905.15,66.4,616,22,3,21257,2011-07,2011,7
2011-07,European Community,676.8,23.34,29,1,1,335,2011-07,2011,7
2011-07,Finland,2996.73,36.11,83,3,3,1273,2011-07,2011,7
2011-07,France,10000.19,22.32,448,22,18,5664,2011-07,2011,7
2011-07,Germany,16440.98,21.78,755,33,26,9096,2011-07,2011,7
2011-07,Greece,421.24,17.55,24,1,1,244,2011-07,2011,7
2011-07,Israel,1430.75,52.99,27,1,1,633,2011-07,2011,7
2011-07,Italy,147.1,24.52,6,1,1,22,2011-07,2011,7
2011-07,Japan,3854.4,98.83,39,2,2,2328,2011-07,2011,7
2011-07,Netherlands,26.02,2.6,10,1,1,10,2011-07,2011,7
2011-07,Norway,890.07,18.16,49,1,1,586,2011-07,2011,7
2011-07,Poland,687.3,21.48,32,2,2,288,2011-07,2011,7
2011-07,Portugal,2287.85,25.71,89,3,3,1436,2011-07,2011,7
2011-07,Singapore,3949.32,52.66,75,1,1,2160,2011-07,2011,7
2011-07,Spain,7624.92,42.36,180,9,7,3449,2011-07,2011,7
2011-07,Sweden,6802.09,125.96,54,3,2,6006,2011-07,2011,7
2011-07,Switzerland,3762.65,29.86,126,5,4,1615,2011-07,2011,7
2011-07,United Kingdom,485612.25,20.58,23599,1200,859,303602,2011-07,2011,7
2011-07,Unspecified,798.48,5.36,149,3,2,590,2011-07,2011,7
2011-08,Australia,22489.2,210.18,107,2,2,12570,2011-08,2011,8
2011-08,Austria,1516.08,17.23,88,2,2,790,2011-08,2011,8
2011-08,Belgium,3554.02,18.32,194,9,8,2069,2011-08,2011,8
2011-08,Canada,51.56,10.31,5,1,1,52,2011-08,2011,8
2011-08,Channel Islands,4896.78,34.98,140,5,4,2009,2011-08,2011,8
2011-08,Denmark,213.15,13.32,16,1,1,338,2011-08,2011,8
2011-08,EIRE,16967.38,28.61,593,17,2,9331,2011-08,2011,8
2011-08,Finland,1376.5,22.57,61,3,2,693,2011-08,2011,8
2011-08,France,13810.96,24.27,569,28,22,7958,2011-08,2011,8
2011-08,Germany,19220.77,24.18,795,39,29,9641,2011-08,2011,8
2011-08,Iceland,584.91,26.59,22,1,1,277,2011-08,2011,8
2011-08,Israel,4873.81,28.5,171,1,1,3028,2011-08,2011,8
2011-08,Italy,1990.95,20.96,95,4,3,1147,2011-08,2011,8
2011-08,Malta,1119.0,20.35,55,2,2,382,2011-08,2011,8
2011-08,Netherlands,40327.81,144.03,280,8,1,29876,2011-08,2011,8
2011-08,Norway,2025.81,26.31,77,2,2,636,2011-08,2011,8
2011-08,Poland,401.8,23.64,17,2,2,186,2011-08,2011,8
2011-08,Portugal,1221.4,29.79,41,1,1,1026,2011-08,2011,8
2011-08,Spain,3346.91,13.28,252,10,6,1600,2011-08,2011,8
2011-08,Sweden,1400.86,35.02,40,5,4,1314,2011-08,2011,8
2011-08,Switzerland,4969.89,18.61,267,3,3,2998,2011-08,2011,8
2011-08,United Kingdom,498453.32,21.57,23105,1133,834,310832,2011-08,2011,8
2011-08,Unspecified,531.03,23.09,23,2,2,185,2011-08,2011,8
2011-09,Australia,5106.73,50.07,102,8,6,4079,2011-09,2011,9
2011-09,Belgium,4208.02,22.87,184,7,7,1969,2011-09,2011,9
2011-09,Channel Islands,1323.75,20.37,65,2,2,764,2011-09,2011,9
2011-09,Cyprus,196.35,196.35,1,1,1,33,2011-09,2011,9
2011-09,Denmark,4570.16,99.35,46,3,3,1608,2011-09,2011,9
2011-09,EIRE,40995.49,38.14,1075,36,2,22136,2011-09,2011,9
2011-09,Finland,1105.45,33.5,33,4,4,515,2011-09,2011,9
2011-09,France,23428.04,22.57,1038,45,36,13002,2011-09,2011,9
2011-09,Germany,18091.22,23.4,773,41,31,11156,2011-09,2011,9
2011-09,Italy,279.8,18.65,15,1,1,48,2011-09,2011,9
2011-09,Japan,112.08,28.02,4,1,1,144,2011-09,2011,9
2011-09,Netherlands,26937.26,111.31,242,7,2,17309,2011-09,2011,9
2011-09,Norway,8678.94,42.97,202,6,5,4655,2011-09,2011,9
2011-09,Poland,529.25,17.64,30,2,2,253,2011-09,2011,9
2011-09,Portugal,1433.22,19.37,74,3,3,899,2011-09,2011,9
2011-09,Spain,5189.24,21.44,242,8,6,2683,2011-09,2011,9
2011-09,Sweden,4575.21,120.4,38,3,3,4344,2011-09,2011,9
2011-09,Switzerland,8284.86,43.15,192,7,5,4255,2011-09,2011,9
2011-09,United Arab Emirates,1013.04,26.66,38,2,1,486,2011-09,2011,9
2011-09,United Kingdom,796780.27,22.36,35636,1569,1146,454561,2011-09,2011,9
2011-10,Australia,17150.53,150.44,114,4,2,7401,2011-10,2011,10
2011-10,Austria,1043.78,19.33,54,1,1,491,2011-10,2011,10
2011-10,Belgium,5685.38,21.54,264,11,9,3170,2011-10,2011,10
2011-10,Channel Islands,2623.32,25.72,102,5,2,1407,2011-10,2011,10
2011-10,Cyprus,4412.87,27.07,163,4,4,1415,2011-10,2011,10
2011-10,Czech Republic,277.48,27.75,10,1,1,325,2011-10,2011,10
2011-10,Denmark,1490.76,64.82,23,3,3,869,2011-10,2011,10
2011-10,EIRE,24317.92,27.92,871,31,2,15904,2011-10,2011,10
2011-10,Finland,2822.12,24.76,114,6,5,1115,2011-10,2011,10
2011-10,France,33485.45,37.75,887,35,27,13807,2011-10,2011,10
2011-10,Germany,31638.42,24.6,1286,58,38,17740,2011-10,2011,10
2011-10,Iceland,1294.32,27.54,47,1,1,676,2011-10,2011,10
2011-10,Israel,138.03,4.06,34,2,1,99,2011-10,2011,10
2011-10,Italy,3489.69,21.95,159,7,5,1597,2011-10,2011,10
2011-10,Japan,1948.04,121.75,16,2,2,1124,2011-10,2011,10
2011-10,Netherlands,40708.65,146.43,278,15,4,27230,2011-10,2011,10
2011-10,Norway,3687.23,30.73,120,7,5,1692,2011-10,2011,10
2011-10,Portugal,5899.46,14.68,402,9,5,3150,2011-10,2011,10
2011-10,RSA,1002.31,17.28,58,1,1,352,2011-10,2011,10
2011-10,Singapore,7067.32,207.86,34,2,1,601,2011-10,2011,10
2011-10,Spain,8636.94,28.23,306,8,7,4352,2011-10,2011,10
2011-10,Sweden,5766.16,122.68,47,3,2,6151,2011-10,2011,10
2011-10,Switzerland,7655.19,24.85,308,6,5,4532,2011-10,2011,10
2011-10,USA,2311.2,18.49,125,2,2,1717,2011-10,2011,10
2011-10,United Kingdom,824766.22,18.86,43735,1705,1230,476991,2011-10,2011,10
2011-11,Australia,7242.72,168.44,43,6,3,4326,2011-11,2011,11
2011-11,Austria,1329.78,19.0,70,2,2,717,2011-11,2011,11
2011-11,Belgium,6315.76,25.99,243,11,8,2560,2011-11,2011,11
2011-11,Channel Islands,1514.77,20.75,73,3,2,716,2011-11,2011,11
2011-11,Cyprus,460.89,4.61,100,1,1,300,2011-11,2011,11
2011-11,Denmark,2699.57,32.52,83,2,2,1537,2011-11,2011,11
2011-11,EIRE,29473.41,29.18,1010,39,2,16125,2011-11,2011,11
2011-11,Finland,3070.24,41.49,74,8,5,1087,2011-11,2011,11
2011-11,France,31337.09,20.95,1496,62,39,17385,2011-11,2011,11
2011-11,Germany,28025.02,25.59,1095,68,44,13454,2011-11,2011,11
2011-11,Italy,4571.08,25.97,176,9,9,2063,2011-11,2011,11
2011-11,Japan,8460.08,264.38,32,2,2,4250,2011-11,2011,11
2011-11,Malta,743.43,61.95,12,1,1,186,2011-11,2011,11
2011-11,Netherlands,25874.01,115.0,225,15,4,18663,2011-11,2011,11
2011-11,Norway,6527.5,35.67,183,5,5,3408,2011-11,2011,11
2011-11,Poland,1361.23,19.17,71,2,2,941,2011-11,2011,11
2011-11,Portugal,2644.9,18.24,145,10,7,1093,2011-11,2011,11
2011-11,Spain,8678.96,28.55,304,14,12,3507,2011-11,2011,11
2011-11,Sweden,2722.23,35.82,76,5,5,1973,2011-11,2011,11
2011-11,Switzerland,8118.96,36.08,225,6,4,3777,2011-11,2011,11
2011-11,United Kingdom,980645.75,16.68,58809,2387,1506,583820,2011-11,2011,11
2011-12,Austria,683.2,97.6,7,1,1,148,2011-12,2011,12
2011-12,Belgium,1417.73,15.08,94,4,4,1101,2011-12,2011,12
2011-12,Channel Islands,198.4,39.68,5,1,1,60,2011-12,2011,12
2011-12,Denmark,168.9,15.35,11,1,1,173,2011-12,2011,12
2011-12,EIRE,6978.92,21.88,319,9,1,3946,2011-12,2011,12
2011-12,Finland,1232.76,94.83,13,3,3,350,2011-12,2011,12
2011-12,France,7276.92,22.46,324,18,17,3785,2011-12,2011,12
2011-12,Germany,7984.17,25.19,317,17,12,4006,2011-12,2011,12
2011-12,Greece,680.99,18.92,36,1,1,236,2011-12,2011,12
2011-12,Iceland,224.82,20.44,11,1,1,192,2011-12,2011,12
2011-12,Italy,200.45,25.06,8,1,1,45,2011-12,2011,12
2011-12,Netherlands,11728.02,136.37,86,3,1,7958,2011-12,2011,12
2011-12,Norway,2785.7,38.16,73,3,2,2319,2011-12,2011,12
2011-12,Portugal,2808.19,27.8,101,4,4,1569,2011-12,2011,12
2011-12,Spain,316.21,4.86,65,2,2,274,2011-12,2011,12
2011-12,Sweden,238.0,238.0,1,1,1,40,2011-12,2011,12
2011-12,USA,885.24,27.66,32,2,2,604,2011-12,2011,12
2011-12,United Kingdom,472384.17,29.9,15801,706,560,260607,2011-12,2011,12
